103,2
406,331
149,28
462,324
184,91
366,376
401,39
439,105
452,278
54,156
12,178
416,393
109,288
39,219
363,418
144,113
126,223
214,104
321,210
470,226
346,281
8,366
455,169
25,394
284,13
279,61
131,188
247,3
356,303
371,302
336,457
109,456
149,351
327,472
105,260
86,118
83,19
213,298
466,439
56,339
105,477
169,236
23,465
470,298
311,22
220,410
247,246
392,365
297,402
267,432
147,202
448,7
15,150
297,248
432,194
248,421
236,469
373,303
185,475
402,43
116,12
429,496
290,225
220,484
263,240
104,163
34,408
14,45
42,479
339,97
482,42
278,449
363,33
87,17
64,154
292,112
352,414
161,369
78,326
325,156
333,130
301,388
464,415
244,370
255,464
471,67
290,471
128,283
384,109
469,119
492,74
113,251
486,18
184,51
440,377
402,403
126,122
168,129
66,8
494,475
388,179
100,101
85,141
154,60
485,74
309,185
15,235
392,383
404,288
264,418
107,55
3,250
107,318
317,31
116,413
293,35
101,356
445,479
490,298
439,397
85,355
187,160
166,328
13,213
109,114
484,417
435,353
325,458
373,87
415,17
126,246
170,92
226,472
347,362
427,161
352,239
275,87
356,312
243,303
216,471
364,135
21,92
86,415
477,121
127,140
443,256
203,93
15,161
455,259
328,241
287,421
347,24
194,163
7,67
184,208
410,243
218,281
211,495
338,224
4,24
10,397
468,475
288,59
473,234
455,226
248,326
315,129
346,169
473,242
304,497
346,365
127,226
467,86
271,286
435,214
133,496
147,15
414,3
328,41
208,409
301,194
445,184
396,109
267,383
108,125
75,338
140,435
485,129
373,98
42,197
395,90
12,118
358,38
122,116
7,237
157,159
161,112
33,438
421,130
305,55
320,359
86,414
181,49
300,40
128,80
466,425
201,245
280,357
265,258
338,369
490,251
150,305
399,361
140,367
322,131
467,363
17,212
212,364
422,482
421,41
417,493
326,160
333,224
443,15
302,282
432,416
141,157
392,490
62,40
458,39
499,442
489,354
240,241
48,432
496,27
121,348
35,342
325,48
79,363
456,192
94,408
203,138
167,67
350,294
159,200
127,45
23,262
443,439
292,350
2,447
205,180
447,238
474,432
130,45
119,366
180,423
439,42
246,413
138,268
90,99
14,361
5,89
272,186
314,200
274,120
478,440
216,400
42,375
352,253
56,463
52,243
404,168
187,39
466,315
267,209
58,350
103,211
319,303
429,364
59,492
278,447
217,222
475,497
302,147
487,113
441,375
357,89
304,36
87,90
387,25
369,458
193,9
156,138
496,75
97,489
12,447
392,257
165,186
364,435
222,181
6,127
135,263
341,65
190,367
27,409
73,63
39,305
258,275
286,262
436,477
3,364
15,221
486,211
137,124
69,393
104,320
324,428
224,119
228,125
375,423
430,131
172,34
2,298
404,412
148,183
406,326
258,162
34,359
63,396
193,383
47,317
324,371
8,75
423,20
221,370
296,409
195,164
89,105
10,291
154,90
111,238
155,154
475,427
331,458
202,158
174,441
83,265
71,184
400,14
430,108
113,147
9,225
481,333
443,150
496,23
448,438
245,185
315,10
136,137
7,13
322,498
126,82
99,350
332,418
407,103
210,287
63,345
22,326
141,353
39,463
468,492
78,365
59,180
106,205
496,289
318,328
384,45
146,101
268,95
279,148
60,128
318,363
125,250
388,355
339,476
120,27
150,455
14,34
250,19
387,135
387,164
100,361
494,263
365,442
134,305
474,157
297,419
177,267
251,490
179,83
446,424
226,255
407,368
186,267
359,87
318,302
316,481
414,185
416,341
12,101
430,66
303,326
165,138
410,307
253,358
198,460
440,334
136,357
375,484
459,413
171,145
422,455
12,278
9,370
349,96
357,17
115,234
485,78
257,409
32,55
82,91
234,116
224,217
37,153
414,0
357,262
315,376
471,30
456,356
361,130
82,244
433,231
422,173
359,470
415,395
144,411
298,15
50,175
164,425
209,392
445,481
339,57
171,394
154,79
218,135
43,365
35,154
424,257
140,117
17,302
335,256
61,219
205,74
286,493
374,413
270,115
414,459
111,371
447,239
80,51
118,149
262,298
429,185
209,238
393,423
76,326
76,179
385,128
86,496
13,107
310,2
451,100
366,398
72,322
446,455
94,19
476,319
76,392
137,345
400,201
222,28
238,101
60,361
52,234
452,38
261,0
492,291
69,34
39,396
5,475
384,129
455,337
499,427
221,91
120,234
392,198
181,137
440,85
467,286
1,217
391,164
113,388
341,286
235,148
325,53
47,58
182,211
73,294
53,475
462,0
100,142
378,489
492,423
67,69
49,455
136,387
19,372
262,448
264,436
353,425
403,245
415,150
309,213
488,227
294,476
137,250
173,78
51,207
377,493
260,136
69,151
491,246
32,211
478,251
4,449
175,317
277,363
290,287
91,251
143,493
214,430
425,382
128,167
269,172
454,347
12,422
370,279
196,181
233,272
192,89
225,173
389,202
298,481
258,233
182,229
240,170
165,469
341,246
349,257
351,47
220,347
365,489
13,234
42,460
443,123
486,424
462,310
430,262
260,233
119,467
186,61
469,300
410,179
279,308
377,292
106,467
209,156
25,24
387,380
390,140
380,152
252,63
47,484
420,143
